2025-12-05 08:00:02.010 [scheduling-1] INFO  c.s.i.f.m.s.FundMonitorScheduler - ========== 开始执行基金监控定时任务 ==========
2025-12-05 08:00:02.117 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 13 ms, SQL: SELECT * FROM fund_monitor WHERE enabled = 1 ORDER BY create_time ASC
2025-12-05 08:00:02.118 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 获取到 10 个启用的监控基金
2025-12-05 08:00:02.118 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 010500 - 中银创新医疗混合C
2025-12-05 08:00:02.120 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=010500, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:02.120 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=010500, startDate=2025-11-05, endDate=2025-12-05
2025-12-05 08:00:02.481 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=010500, count=22
2025-12-05 08:00:02.516 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 15 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('010500', '中银创新医疗混合C', 2025-11-05, 2.0540, -0.38, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-06, 2.0508, -0.16, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-07, 2.0002, -2.53, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-10, 2.0270, 1.34, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-11, 2.0152, -0.58, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-12, 2.0634, 2.39, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-13, 2.1509, 4.24, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-14, 2.1531, 0.10, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-17, 2.1094, -2.03, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-18, 2.0887, -0.98, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-19, 2.0669, -1.04, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-20, 2.0846, 0.86, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-21, 2.0183, -3.18, NOW(), NOW()) , ('010500', '中银创新医疗混合C',...
2025-12-05 08:00:02.517 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=010500, count=43
2025-12-05 08:00:02.517 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 010500 - 中银创新医疗混合C, 更新记录数: 43
2025-12-05 08:00:02.517 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 010500 - 中银创新医疗混合C
