2025-12-09 08:00:00.031 [scheduling-1] INFO  c.s.i.f.m.s.FundMonitorScheduler - ========== 开始执行基金监控定时任务 ==========
2025-12-09 08:00:00.162 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 8 ms, SQL: SELECT * FROM fund_monitor WHERE enabled = 1 ORDER BY create_time ASC
2025-12-09 08:00:00.163 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 获取到 12 个启用的监控基金
2025-12-09 08:00:00.163 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 010500 - 中银创新医疗混合C
2025-12-09 08:00:00.163 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=010500, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.174 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 6 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '010500' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.174 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=010500, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.338 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=010500, count=21
2025-12-09 08:00:00.366 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 10 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('010500', '中银创新医疗混合C', 2025-11-10, 2.0270, 1.34, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-11, 2.0152, -0.58, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-12, 2.0634, 2.39, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-13, 2.1509, 4.24, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-14, 2.1531, 0.10, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-17, 2.1094, -2.03, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-18, 2.0887, -0.98, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-19, 2.0669, -1.04, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-20, 2.0846, 0.86, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-21, 2.0183, -3.18, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-24, 2.0849, 3.30, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-25, 2.0952, 0.49, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 2025-11-26, 2.1404, 2.16, NOW(), NOW()) , ('010500', '中银创新医疗混合C', 20...
2025-12-09 08:00:00.366 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=010500, count=41
2025-12-09 08:00:00.366 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 010500 - 中银创新医疗混合C, 更新记录数: 41
