"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-11-18","3,939.81","3,962.44","3,966.89","3,926.59","59.44B","-0.81%"
"2025-11-17","3,972.03","3,988.56","3,992.40","3,958.95","59.20B","-0.46%"
"2025-11-14","3,990.49","4,007.13","4,034.08","3,990.31","62.20B","-0.97%"
"2025-11-13","4,029.50","3,996.51","4,030.40","3,994.77","61.30B","0.73%"
"2025-11-12","4,000.14","3,996.56","4,020.38","3,980.68","58.62B","-0.07%"
"2025-11-11","4,002.76","4,023.88","4,024.94","3,991.52","58.20B","-0.39%"
"2025-11-10","4,018.60","4,001.79","4,018.70","3,990.84","63.40B","0.53%"
"2025-11-7","3,997.56","3,994.32","4,012.01","3,993.69","59.65B","-0.25%"
"2025-11-6","4,007.76","3,973.35","4,008.80","3,973.35","62.74B","0.97%"
"2025-11-5","3,969.25","3,922.58","3,979.75","3,922.58","61.50B","0.23%"
"2025-11-4","3,960.19","3,973.46","3,985.88","3,938.52","61.55B","-0.41%"
"2025-11-3","3,976.52","3,954.08","3,977.31","3,937.02","64.12B","0.55%"
"2025-10-31","3,954.79","3,985.06","3,986.74","3,951.73","67.56B","-0.81%"
"2025-10-30","3,986.90","4,007.82","4,025.70","3,984.83","66.85B","-0.73%"
"2025-10-29","4,016.33","3,990.27","4,016.33","3,986.94","61.29B","0.70%"
"2025-10-28","3,988.22","3,986.89","4,010.73","3,976.83","57.74B","-0.22%"
"2025-10-27","3,996.94","3,969.22","3,999.07","3,963.10","63.76B","1.18%"
"2025-10-24","3,950.31","3,929.11","3,950.31","3,928.96","56.79B","0.71%"
"2025-10-23","3,922.41","3,904.16","3,926.22","3,877.53","56.52B","0.22%"
"2025-10-22","3,913.76","3,896.07","3,918.59","3,893.32","54.31B","-0.07%"
"2025-10-21","3,916.33","3,870.75","3,919.32","3,868.15","59.94B","1.36%"
"2025-10-20","3,863.89","3,865.55","3,877.72","3,850.37","54.93B","0.63%"
"2025-10-17","3,839.76","3,912.04","3,921.06","3,835.36","61.76B","-1.95%"
"2025-10-16","3,916.23","3,900.68","3,931.05","3,899.17","59.55B","0.10%"
"2025-10-15","3,912.21","3,867.54","3,912.29","3,857.67","64.50B","1.22%"
"2025-10-14","3,865.23","3,910.78","3,918.44","3,851.12","80.08B","-0.62%"
"2025-10-13","3,889.50","3,800.11","3,895.83","3,800.11","70.95B","-0.19%"
"2025-10-10","3,897.03","3,915.48","3,933.01","3,886.30","71.89B","-0.94%"
"2025-10-9","3,933.97","3,898.31","3,936.58","3,885.74","72.52B","1.32%"
"2025-9-30","3,882.78","3,869.70","3,887.57","3,866.28","56.97B","0.52%"
"2025-9-29","3,862.53","3,828.17","3,881.00","3,809.54","60.85B","0.90%"
"2025-9-26","3,828.11","3,839.86","3,856.61","3,828.11","55.13B","-0.65%"
"2025-9-25","3,853.30","3,852.43","3,866.11","3,840.46","59.00B","-0.01%"
"2025-9-24","3,853.64","3,804.48","3,854.92","3,804.33","60.21B","0.83%"
"2025-9-23","3,821.83","3,830.14","3,838.61","3,774.53","70.19B","-0.18%"
"2025-9-22","3,828.58","3,822.01","3,831.74","3,806.20","56.83B","0.22%"
"2025-9-19","3,820.09","3,830.44","3,843.17","3,811.90","68.23B","-0.30%"
"2025-9-18","3,831.66","3,876.06","3,899.96","3,801.00","87.60B","-1.15%"
"2025-9-17","3,876.34","3,854.07","3,882.67","3,848.95","66.34B","0.37%"
"2025-9-16","3,861.86","3,865.98","3,876.69","3,838.65","67.34B","0.04%"
"2025-9-15","3,860.50","3,876.10","3,879.74","3,855.97","64.48B","-0.26%"
"2025-9-12","3,870.60","3,875.51","3,892.74","3,866.54","70.06B","-0.12%"
"2025-9-11","3,875.31","3,806.06","3,875.31","3,796.43","61.70B","1.65%"
"2025-9-10","3,812.22","3,806.58","3,827.00","3,794.06","53.45B","0.13%"
"2025-9-9","3,807.29","3,816.66","3,834.67","3,791.72","60.02B","-0.51%"
"2025-9-8","3,826.84","3,811.67","3,833.14","3,803.60","66.01B","0.38%"
"2025-9-5","3,812.51","3,761.88","3,817.16","3,745.31","62.62B","1.24%"
"2025-9-4","3,765.88","3,807.76","3,808.40","3,732.84","71.02B","-1.25%"
"2025-9-3","3,813.56","3,865.29","3,868.39","3,794.88","64.57B","-1.16%"
"2025-9-2","3,858.13","3,877.09","3,885.31","3,828.68","76.26B","-0.45%"
"2025-9-1","3,875.53","3,869.75","3,879.05","3,853.66","74.77B","0.46%"
"2025-8-29","3,857.93","3,842.82","3,867.61","3,839.21","73.95B","0.37%"
"2025-8-28","3,843.60","3,796.71","3,845.09","3,761.42","78.84B","1.14%"
"2025-8-27","3,800.35","3,869.61","3,887.20","3,800.35","85.86B","-1.76%"
"2025-8-26","3,868.38","3,871.47","3,888.60","3,859.76","73.46B","-0.39%"
"2025-8-25","3,883.56","3,848.16","3,883.56","3,839.97","88.55B","1.51%"
"2025-8-22","3,825.76","3,772.28","3,825.76","3,772.28","69.81B","1.45%"
"2025-8-21","3,771.10","3,770.68","3,787.98","3,757.99","69.16B","0.13%"
"2025-8-20","3,766.21","3,716.68","3,767.43","3,704.99","67.98B","1.04%"
"2025-8-19","3,727.29","3,728.49","3,746.67","3,718.15","69.61B","-0.02%"
"2025-8-18","3,728.03","3,712.50","3,745.94","3,702.38","77.60B","0.85%"
"2025-8-15","3,696.77","3,659.81","3,702.26","3,658.38","67.85B","0.83%"
"2025-8-14","3,666.44","3,685.52","3,704.77","3,662.57","64.78B","-0.46%"
"2025-8-13","3,683.46","3,668.66","3,688.63","3,666.55","61.35B","0.48%"
"2025-8-12","3,665.92","3,647.96","3,669.04","3,647.96","53.66B","0.50%"
"2025-8-11","3,647.55","3,637.05","3,656.85","3,629.63","55.14B","0.34%"
"2025-8-8","3,635.13","3,634.85","3,645.37","3,625.45","52.64B","-0.12%"
"2025-8-7","3,639.67","3,637.78","3,645.12","3,622.52","53.55B","0.16%"
"2025-8-6","3,633.99","3,615.81","3,634.31","3,613.99","51.25B","0.45%"
"2025-8-5","3,617.60","3,588.81","3,617.60","3,586.97","49.98B","0.96%"
"2025-8-4","3,583.31","3,547.16","3,583.31","3,547.16","45.86B","0.66%"
"2025-8-1","3,559.95","3,568.26","3,581.75","3,550.04","50.96B","-0.37%"
"2025-7-31","3,573.21","3,604.70","3,606.37","3,562.61","65.45B","-1.18%"
"2025-7-30","3,615.72","3,608.35","3,636.17","3,593.73","63.72B","0.17%"
"2025-7-29","3,609.71","3,595.81","3,611.35","3,585.94","61.06B","0.33%"
"2025-7-28","3,597.94","3,594.23","3,606.27","3,582.15","59.42B","0.12%"
"2025-7-25","3,593.66","3,604.45","3,610.03","3,586.22","69.72B","-0.33%"
"2025-7-24","3,605.73","3,578.91","3,608.73","3,577.11","77.33B","0.65%"
"2025-7-23","3,582.30","3,588.88","3,613.02","3,577.59","76.77B","0.01%"
"2025-7-22","3,581.86","3,561.63","3,584.72","3,547.25","71.62B","0.62%"
"2025-7-21","3,559.79","3,542.82","3,560.63","3,542.57","63.36B","0.72%"
"2025-7-18","3,534.48","3,519.48","3,536.01","3,518.23","49.35B","0.50%"
"2025-7-17","3,516.83","3,500.37","3,517.28","3,499.19","47.22B","0.37%"
"2025-7-16","3,503.78","3,502.90","3,511.81","3,489.14","47.09B","-0.03%"
"2025-7-15","3,505.00","3,519.81","3,527.04","3,483.38","57.21B","-0.42%"
"2025-7-14","3,519.65","3,513.25","3,532.12","3,513.25","57.21B","0.27%"
"2025-7-11","3,510.18","3,511.37","3,555.22","3,506.80","66.42B","0.01%"
"2025-7-10","3,509.68","3,491.50","3,526.59","3,491.50","56.42B","0.48%"
"2025-7-9","3,493.05","3,498.72","3,512.67","3,491.20","52.39B","-0.13%"
"2025-7-8","3,497.48","3,474.63","3,499.89","3,474.63","49.35B","0.70%"
"2025-7-7","3,473.13","3,467.98","3,474.80","3,462.79","43.66B","0.02%"
"2025-7-4","3,472.32","3,459.59","3,497.22","3,455.49","50.02B","0.32%"
"2025-7-3","3,461.15","3,456.15","3,463.62","3,446.97","43.85B","0.18%"
"2025-7-2","3,454.79","3,458.17","3,461.33","3,447.96","49.81B","-0.09%"
"2025-7-1","3,457.75","3,445.85","3,459.59","3,441.04","44.44B","0.39%"
"2025-6-30","3,444.43","3,423.47","3,447.46","3,420.11","45.73B","0.59%"
